Nairobi Stock Exchange All Share Index | Price History                                          02-Jun-2023 20:00,,,,,,,
,,,,,,,
,,,,,,,
.NASI,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Apr-2011 - 31-Jul-2020,,,,,,,
,,,,,,,
,,,,,,,
.NASI Statistics     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,196.57,05-Apr-2018,Up,1184,Up,+4.11%,12-Oct-2016
Low,65.14,07-Dec-2011,Down,1099,Down,-5.51%,13-Mar-2020
Avg,135.82,,Unch,21,Period,+48.88%,01-Apr-2011 - 29-Jul-2020
,,,,,,,
,,,,,,,
.NASI History     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
01-Mar-2017,122.65,-2.24,-1.79%,122.65,122.65,122.65,
28-Feb-2017,124.89,-0.99,-0.79%,124.89,124.89,124.89,
27-Feb-2017,125.88,-0.65,-0.51%,125.88,125.88,125.88,
24-Feb-2017,126.53,+0.60,+0.48%,126.53,126.53,126.53,
23-Feb-2017,125.93,+0.54,+0.43%,125.93,125.93,125.93,
22-Feb-2017,125.39,+0.46,+0.37%,125.39,125.39,125.39,
21-Feb-2017,124.93,+0.27,+0.22%,124.93,124.93,124.93,
20-Feb-2017,124.66,-0.27,-0.22%,124.66,124.66,124.66,
17-Feb-2017,124.93,-0.40,-0.32%,124.93,124.93,124.93,
16-Feb-2017,125.33,+0.42,+0.34%,125.33,125.33,125.33,
15-Feb-2017,124.91,-0.04,-0.03%,124.91,124.91,124.91,
14-Feb-2017,124.95,-0.16,-0.13%,124.95,124.95,124.95,
13-Feb-2017,125.11,-0.34,-0.27%,125.11,125.11,125.11,
10-Feb-2017,125.45,+0.26,+0.21%,125.45,125.45,125.45,
09-Feb-2017,125.19,+0.16,+0.13%,125.19,125.19,125.19,
08-Feb-2017,125.03,+0.03,+0.02%,125.03,125.03,125.03,
07-Feb-2017,125.00,-0.06,-0.05%,125.00,125.00,125.00,
06-Feb-2017,125.06,+0.87,+0.70%,125.06,125.06,125.06,
03-Feb-2017,124.19,+0.76,+0.62%,124.19,124.19,124.19,
02-Feb-2017,123.43,+0.66,+0.54%,123.43,123.43,123.43,
01-Feb-2017,122.77,+0.54,+0.44%,122.77,122.77,122.77,
31-Jan-2017,122.23,+0.97,+0.80%,122.23,122.23,122.23,
30-Jan-2017,121.26,-1.02,-0.83%,121.26,121.26,121.26,
27-Jan-2017,122.28,-0.14,-0.11%,122.28,122.28,122.28,
26-Jan-2017,122.42,-0.35,-0.29%,122.42,122.42,122.42,
25-Jan-2017,122.77,-0.52,-0.42%,122.77,122.77,122.77,
24-Jan-2017,123.29,-0.77,-0.62%,123.29,123.29,123.29,
23-Jan-2017,124.06,+0.02,+0.02%,124.06,124.06,124.06,
20-Jan-2017,124.04,-0.17,-0.14%,124.04,124.04,124.04,
19-Jan-2017,124.21,+0.02,+0.02%,124.21,124.21,124.21,
18-Jan-2017,124.19,+0.10,+0.08%,124.19,124.19,124.19,
17-Jan-2017,124.09,-0.18,-0.14%,124.09,124.09,124.09,
16-Jan-2017,124.27,+0.33,+0.27%,124.27,124.27,124.27,
13-Jan-2017,123.94,-0.81,-0.65%,123.94,123.94,123.94,
12-Jan-2017,124.75,-1.01,-0.80%,124.75,124.75,124.75,
11-Jan-2017,125.76,-1.46,-1.15%,125.76,125.76,125.76,
10-Jan-2017,127.22,-1.64,-1.27%,127.22,127.22,127.22,
09-Jan-2017,128.86,-0.90,-0.69%,128.86,128.86,128.86,
06-Jan-2017,129.76,-1.69,-1.29%,129.76,129.76,129.76,
05-Jan-2017,131.45,-0.82,-0.62%,131.45,131.45,131.45,
04-Jan-2017,132.27,-0.34,-0.26%,132.27,132.27,132.27,
03-Jan-2017,132.61,-0.73,-0.55%,132.61,132.61,132.61,
30-Dec-2016,133.34,+2.04,+1.55%,133.34,133.34,133.34,
29-Dec-2016,131.30,-0.17,-0.13%,131.30,131.30,131.30,
28-Dec-2016,131.47,-0.44,-0.33%,131.47,131.47,131.47,
23-Dec-2016,131.91,-0.13,-0.10%,131.91,131.91,131.91,
22-Dec-2016,132.04,+1.28,+0.98%,132.04,132.04,132.04,
21-Dec-2016,130.76,-0.25,-0.19%,130.76,130.76,130.76,
20-Dec-2016,131.01,-0.05,-0.04%,131.01,131.01,131.01,
19-Dec-2016,131.06,+0.25,+0.19%,131.06,131.06,131.06,
16-Dec-2016,130.81,-0.14,-0.11%,130.81,130.81,130.81,
15-Dec-2016,130.95,-0.68,-0.52%,130.95,130.95,130.95,
14-Dec-2016,131.63,-0.24,-0.18%,131.63,131.63,131.63,
13-Dec-2016,131.87,-0.38,-0.29%,131.87,131.87,131.87,
09-Dec-2016,132.25,-1.45,-1.08%,132.25,132.25,132.25,
08-Dec-2016,133.70,-0.97,-0.72%,133.70,133.70,133.70,
07-Dec-2016,134.67,-0.50,-0.37%,134.67,134.67,134.67,
06-Dec-2016,135.17,-0.91,-0.67%,135.17,135.17,135.17,
05-Dec-2016,136.08,-0.35,-0.26%,136.08,136.08,136.08,
02-Dec-2016,136.43,-0.31,-0.23%,136.43,136.43,136.43,
01-Dec-2016,136.74,+0.13,+0.10%,136.74,136.74,136.74,
30-Nov-2016,136.61,+0.06,+0.04%,136.61,136.61,136.61,
29-Nov-2016,136.55,-0.29,-0.21%,136.55,136.55,136.55,
28-Nov-2016,136.84,-0.56,-0.41%,136.84,136.84,136.84,
25-Nov-2016,137.40,-0.99,-0.72%,137.40,137.40,137.40,
24-Nov-2016,138.39,+0.46,+0.33%,138.39,138.39,138.39,
23-Nov-2016,137.93,-0.08,-0.06%,137.93,137.93,137.93,
22-Nov-2016,138.01,-0.19,-0.14%,138.01,138.01,138.01,
21-Nov-2016,138.20,-0.53,-0.38%,138.20,138.20,138.20,
18-Nov-2016,138.73,-1.23,-0.88%,138.73,138.73,138.73,
17-Nov-2016,139.96,-0.10,-0.07%,139.96,139.96,139.96,
16-Nov-2016,140.06,+0.97,+0.70%,140.06,140.06,140.06,
15-Nov-2016,139.09,-0.29,-0.21%,139.09,139.09,139.09,
14-Nov-2016,139.38,-0.63,-0.45%,139.38,139.38,139.38,
11-Nov-2016,140.01,+0.12,+0.09%,140.01,140.01,140.01,
10-Nov-2016,139.89,+1.34,+0.97%,139.89,139.89,139.89,
09-Nov-2016,138.55,-1.25,-0.89%,138.55,138.55,138.55,
08-Nov-2016,139.80,-0.69,-0.49%,139.80,139.80,139.80,
07-Nov-2016,140.49,-1.01,-0.71%,140.49,140.49,140.49,
04-Nov-2016,141.50,+0.17,+0.12%,141.50,141.50,141.50,
03-Nov-2016,141.33,+1.57,+1.12%,141.33,141.33,141.33,
02-Nov-2016,139.76,+1.45,+1.05%,139.76,139.76,139.76,
01-Nov-2016,138.31,+1.27,+0.93%,138.31,138.31,138.31,
31-Oct-2016,137.04,0.00,0.00%,137.04,137.04,137.04,
28-Oct-2016,137.04,+0.22,+0.16%,137.04,137.04,137.04,
27-Oct-2016,136.82,+0.24,+0.18%,136.82,136.82,136.82,
26-Oct-2016,136.58,-0.06,-0.04%,136.58,136.58,136.58,
25-Oct-2016,136.64,-0.17,-0.12%,136.64,136.64,136.64,
24-Oct-2016,136.81,+1.02,+0.75%,136.81,136.81,136.81,
21-Oct-2016,135.79,-0.34,-0.25%,135.79,135.79,135.79,
19-Oct-2016,136.13,-0.50,-0.37%,136.13,136.13,136.13,
18-Oct-2016,136.63,+0.24,+0.18%,136.63,136.63,136.63,
17-Oct-2016,136.39,-1.14,-0.83%,136.39,136.39,136.39,
14-Oct-2016,137.53,+0.38,+0.28%,137.53,137.53,137.53,
13-Oct-2016,137.15,+0.12,+0.09%,137.15,137.15,137.15,
12-Oct-2016,137.03,+5.41,+4.11%,137.03,137.03,137.03,
11-Oct-2016,131.62,-6.53,-4.73%,131.62,131.62,131.62,
10-Oct-2016,138.15,-0.02,-0.01%,138.15,138.15,138.15,
07-Oct-2016,138.17,+0.64,+0.47%,138.17,138.17,138.17,
06-Oct-2016,137.53,-0.21,-0.15%,137.53,137.53,137.53,
05-Oct-2016,137.74,+0.03,+0.02%,137.74,137.74,137.74,
04-Oct-2016,137.71,-0.44,-0.32%,137.71,137.71,137.71,
03-Oct-2016,138.15,+1.40,+1.02%,138.15,138.15,138.15,
30-Sep-2016,136.75,+0.74,+0.54%,136.75,136.75,136.75,
29-Sep-2016,136.01,+1.19,+0.88%,136.01,136.01,136.01,
28-Sep-2016,134.82,-0.06,-0.04%,134.82,134.82,134.82,
27-Sep-2016,134.88,+0.33,+0.25%,134.88,134.88,134.88,
26-Sep-2016,134.55,+0.43,+0.32%,134.55,134.55,134.55,
23-Sep-2016,134.12,+0.67,+0.50%,134.12,134.12,134.12,
22-Sep-2016,133.45,+0.60,+0.45%,133.45,133.45,133.45,
21-Sep-2016,132.85,+0.51,+0.39%,132.85,132.85,132.85,
20-Sep-2016,132.34,+0.10,+0.08%,132.34,132.34,132.34,
19-Sep-2016,132.24,+0.66,+0.50%,132.24,132.24,132.24,
16-Sep-2016,131.58,-0.05,-0.04%,131.58,131.58,131.58,
15-Sep-2016,131.63,+0.29,+0.22%,131.63,131.63,131.63,
14-Sep-2016,131.34,-0.24,-0.18%,131.34,131.34,131.34,
13-Sep-2016,131.58,+0.09,+0.07%,131.58,131.58,131.58,
09-Sep-2016,131.49,+0.62,+0.47%,131.49,131.49,131.49,
08-Sep-2016,130.87,+0.12,+0.09%,130.87,130.87,130.87,
07-Sep-2016,130.75,+0.33,+0.25%,130.75,130.75,130.75,
06-Sep-2016,130.42,+0.77,+0.59%,130.42,130.42,130.42,
05-Sep-2016,129.65,-4.41,-3.29%,129.65,129.65,129.65,
02-Sep-2016,134.06,-0.41,-0.30%,134.06,134.06,134.06,
01-Sep-2016,134.47,-0.47,-0.35%,134.47,134.47,134.47,
31-Aug-2016,134.94,+1.62,+1.22%,134.94,134.94,134.94,
30-Aug-2016,133.32,-0.18,-0.13%,133.32,133.32,133.32,
29-Aug-2016,133.50,-1.47,-1.09%,133.50,133.50,133.50,
26-Aug-2016,134.97,-4.17,-3.00%,134.97,134.97,134.97,
25-Aug-2016,139.14,-7.34,-5.01%,139.14,139.14,139.14,
24-Aug-2016,146.48,+0.17,+0.12%,146.48,146.48,146.48,
23-Aug-2016,146.31,+1.58,+1.09%,146.31,146.31,146.31,
22-Aug-2016,144.73,-2.02,-1.38%,144.73,144.73,144.73,
19-Aug-2016,146.75,-0.57,-0.39%,146.75,146.75,146.75,
18-Aug-2016,147.32,-0.18,-0.12%,147.32,147.32,147.32,
17-Aug-2016,147.50,+0.70,+0.48%,147.50,147.50,147.50,
16-Aug-2016,146.80,+2.40,+1.66%,146.80,146.80,146.80,
15-Aug-2016,144.40,+0.54,+0.38%,144.40,144.40,144.40,
12-Aug-2016,143.86,+0.23,+0.16%,143.86,143.86,143.86,
11-Aug-2016,143.63,-0.30,-0.21%,143.63,143.63,143.63,
10-Aug-2016,143.93,+0.30,+0.21%,143.93,143.93,143.93,
09-Aug-2016,143.63,+0.19,+0.13%,143.63,143.63,143.63,
08-Aug-2016,143.44,-0.53,-0.37%,143.44,143.44,143.44,
05-Aug-2016,143.97,+0.58,+0.40%,143.97,143.97,143.97,
04-Aug-2016,143.39,-1.90,-1.31%,143.39,143.39,143.39,
03-Aug-2016,145.29,+0.69,+0.48%,145.29,145.29,145.29,
02-Aug-2016,144.60,+1.69,+1.18%,144.60,144.60,144.60,
01-Aug-2016,142.91,+0.52,+0.37%,142.91,142.91,142.91,
29-Jul-2016,142.39,+0.45,+0.32%,142.39,142.39,142.39,
28-Jul-2016,141.94,+0.51,+0.36%,141.94,141.94,141.94,
27-Jul-2016,141.43,+0.50,+0.35%,141.43,141.43,141.43,
26-Jul-2016,140.93,+2.18,+1.57%,140.93,140.93,140.93,
25-Jul-2016,138.75,+0.23,+0.17%,138.75,138.75,138.75,
22-Jul-2016,138.52,-0.30,-0.22%,138.52,138.52,138.52,
21-Jul-2016,138.82,+0.20,+0.14%,138.82,138.82,138.82,
20-Jul-2016,138.62,+0.97,+0.70%,138.62,138.62,138.62,
19-Jul-2016,137.65,+0.29,+0.21%,137.65,137.65,137.65,
18-Jul-2016,137.36,-0.94,-0.68%,137.36,137.36,137.36,
15-Jul-2016,138.30,-0.46,-0.33%,138.30,138.30,138.30,
14-Jul-2016,138.76,-0.41,-0.29%,138.76,138.76,138.76,
13-Jul-2016,139.17,+0.30,+0.22%,139.17,139.17,139.17,
12-Jul-2016,138.87,-1.32,-0.94%,138.87,138.87,138.87,
11-Jul-2016,140.19,-0.82,-0.58%,140.19,140.19,140.19,
08-Jul-2016,141.01,+0.78,+0.56%,141.01,141.01,141.01,
05-Jul-2016,140.23,+0.16,+0.11%,140.23,140.23,140.23,
04-Jul-2016,140.07,-0.39,-0.28%,140.07,140.07,140.07,
01-Jul-2016,140.46,-0.14,-0.10%,140.46,140.46,140.46,
30-Jun-2016,140.60,+1.28,+0.92%,140.60,140.60,140.60,
29-Jun-2016,139.32,-0.32,-0.23%,139.32,139.32,139.32,
28-Jun-2016,139.64,-0.89,-0.63%,139.64,139.64,139.64,
27-Jun-2016,140.53,-1.45,-1.02%,140.53,140.53,140.53,
24-Jun-2016,141.98,-2.35,-1.63%,141.98,141.98,141.98,
23-Jun-2016,144.33,-0.83,-0.57%,144.33,144.33,144.33,
22-Jun-2016,145.16,-1.21,-0.83%,145.16,145.16,145.16,
21-Jun-2016,146.37,-0.92,-0.62%,146.37,146.37,146.37,
20-Jun-2016,147.29,-0.15,-0.10%,147.29,147.29,147.29,
17-Jun-2016,147.44,+0.14,+0.10%,147.44,147.44,147.44,
16-Jun-2016,147.30,+0.80,+0.55%,147.30,147.30,147.30,
15-Jun-2016,146.50,+1.07,+0.74%,146.50,146.50,146.50,
14-Jun-2016,145.43,-0.82,-0.56%,145.43,145.43,145.43,
13-Jun-2016,146.25,-0.72,-0.49%,146.25,146.25,146.25,
10-Jun-2016,146.97,+0.58,+0.40%,146.97,146.97,146.97,
09-Jun-2016,146.39,+0.96,+0.66%,146.39,146.39,146.39,
08-Jun-2016,145.43,+0.80,+0.55%,145.43,145.43,145.43,
07-Jun-2016,144.63,+0.79,+0.55%,144.63,144.63,144.63,
06-Jun-2016,143.84,+0.35,+0.24%,143.84,143.84,143.84,
03-Jun-2016,143.49,-0.02,-0.01%,143.49,143.49,143.49,
02-Jun-2016,143.51,-0.10,-0.07%,143.51,143.51,143.51,
31-May-2016,143.61,-0.82,-0.57%,143.61,143.61,143.61,
30-May-2016,144.43,-1.11,-0.76%,144.43,144.43,144.43,
27-May-2016,145.54,-0.24,-0.16%,145.54,145.54,145.54,
26-May-2016,145.78,-0.49,-0.33%,145.78,145.78,145.78,
25-May-2016,146.27,-0.18,-0.12%,146.27,146.27,146.27,
24-May-2016,146.45,+0.20,+0.14%,146.45,146.45,146.45,
23-May-2016,146.25,-0.49,-0.33%,146.25,146.25,146.25,
20-May-2016,146.74,+0.41,+0.28%,146.74,146.74,146.74,
19-May-2016,146.33,+0.59,+0.40%,146.33,146.33,146.33,
18-May-2016,145.74,+0.43,+0.30%,145.74,145.74,145.74,
17-May-2016,145.31,-1.00,-0.68%,145.31,145.31,145.31,
16-May-2016,146.31,-0.40,-0.27%,146.31,146.31,146.31,
13-May-2016,146.71,+0.27,+0.18%,146.71,146.71,146.71,
12-May-2016,146.44,+0.23,+0.16%,146.44,146.44,146.44,
11-May-2016,146.21,+0.57,+0.39%,146.21,146.21,146.21,
10-May-2016,145.64,0.00,0.00%,145.64,145.64,145.64,
09-May-2016,145.64,+0.03,+0.02%,145.64,145.64,145.64,
06-May-2016,145.61,-0.02,-0.01%,145.61,145.61,145.61,
05-May-2016,145.63,-0.09,-0.06%,145.63,145.63,145.63,
04-May-2016,145.72,-0.75,-0.51%,145.72,145.72,145.72,
03-May-2016,146.47,-0.46,-0.31%,146.47,146.47,146.47,
29-Apr-2016,146.93,+0.37,+0.25%,146.93,146.93,146.93,
28-Apr-2016,146.56,+1.44,+0.99%,146.56,146.56,146.56,
27-Apr-2016,145.12,-0.57,-0.39%,145.12,145.12,145.12,
26-Apr-2016,145.69,-0.56,-0.38%,145.69,145.69,145.69,
25-Apr-2016,146.25,-1.30,-0.88%,146.25,146.25,146.25,
22-Apr-2016,147.55,+0.14,+0.09%,147.55,147.55,147.55,
21-Apr-2016,147.41,+0.54,+0.37%,147.41,147.41,147.41,
20-Apr-2016,146.87,+0.44,+0.30%,146.87,146.87,146.87,
19-Apr-2016,146.43,+0.12,+0.08%,146.43,146.43,146.43,
18-Apr-2016,146.31,+0.23,+0.16%,146.31,146.31,146.31,
15-Apr-2016,146.08,+0.85,+0.59%,146.08,146.08,146.08,
14-Apr-2016,145.23,+0.45,+0.31%,145.23,145.23,145.23,
13-Apr-2016,144.78,+0.06,+0.04%,144.78,144.78,144.78,
12-Apr-2016,144.72,-0.95,-0.65%,144.72,144.72,144.72,
11-Apr-2016,145.67,-0.83,-0.57%,145.67,145.67,145.67,
08-Apr-2016,146.50,-0.94,-0.64%,146.50,146.50,146.50,
07-Apr-2016,147.44,+0.56,+0.38%,147.44,147.44,147.44,
06-Apr-2016,146.88,+0.15,+0.10%,146.88,146.88,146.88,
05-Apr-2016,146.73,-0.15,-0.10%,146.73,146.73,146.73,
04-Apr-2016,146.88,-0.15,-0.10%,146.88,146.88,146.88,
01-Apr-2016,147.03,-0.41,-0.28%,147.03,147.03,147.03,
31-Mar-2016,147.44,+0.83,+0.57%,147.44,147.44,147.44,
30-Mar-2016,146.61,-0.46,-0.31%,146.61,146.61,146.61,
29-Mar-2016,147.07,-0.49,-0.33%,147.07,147.07,147.07,
24-Mar-2016,147.56,+0.32,+0.22%,147.56,147.56,147.56,
23-Mar-2016,147.24,+1.16,+0.79%,147.24,147.24,147.24,
22-Mar-2016,146.08,+1.01,+0.70%,146.08,146.08,146.08,
21-Mar-2016,145.07,-0.61,-0.42%,145.07,145.07,145.07,
18-Mar-2016,145.68,-0.04,-0.03%,145.68,145.68,145.68,
17-Mar-2016,145.72,+0.37,+0.25%,145.72,145.72,145.72,
16-Mar-2016,145.35,+0.51,+0.35%,145.35,145.35,145.35,
15-Mar-2016,144.84,-0.42,-0.29%,144.84,144.84,144.84,
14-Mar-2016,145.26,+0.29,+0.20%,145.26,145.26,145.26,
11-Mar-2016,144.97,+0.44,+0.30%,144.97,144.97,144.97,
10-Mar-2016,144.53,-0.40,-0.28%,144.53,144.53,144.53,
09-Mar-2016,144.93,+0.17,+0.12%,144.93,144.93,144.93,
08-Mar-2016,144.76,-2.45,-1.66%,144.76,144.76,144.76,
07-Mar-2016,147.21,+0.25,+0.17%,147.21,147.21,147.21,
04-Mar-2016,146.96,+1.75,+1.21%,146.96,146.96,146.96,
03-Mar-2016,145.21,+1.50,+1.04%,145.21,145.21,145.21,
02-Mar-2016,143.71,+1.91,+1.35%,143.71,143.71,143.71,
01-Mar-2016,141.80,-0.23,-0.16%,141.80,141.80,141.80,
29-Feb-2016,142.03,+0.81,+0.57%,142.03,142.03,142.03,
26-Feb-2016,141.22,+0.32,+0.23%,141.22,141.22,141.22,
25-Feb-2016,140.90,+0.38,+0.27%,140.90,140.90,140.90,
24-Feb-2016,140.52,+0.14,+0.10%,140.52,140.52,140.52,
23-Feb-2016,140.38,+0.74,+0.53%,140.38,140.38,140.38,
22-Feb-2016,139.64,-1.05,-0.75%,139.64,139.64,139.64,
19-Feb-2016,140.69,+0.73,+0.52%,140.69,140.69,140.69,
18-Feb-2016,139.96,+0.07,+0.05%,139.96,139.96,139.96,
17-Feb-2016,139.89,-0.35,-0.25%,139.89,139.89,139.89,
16-Feb-2016,140.24,-0.07,-0.05%,140.24,140.24,140.24,
15-Feb-2016,140.31,-0.18,-0.13%,140.31,140.31,140.31,
12-Feb-2016,140.49,+0.08,+0.06%,140.49,140.49,140.49,
11-Feb-2016,140.41,-0.47,-0.33%,140.41,140.41,140.41,
10-Feb-2016,140.88,-0.76,-0.54%,140.88,140.88,140.88,
09-Feb-2016,141.64,-0.03,-0.02%,141.64,141.64,141.64,
08-Feb-2016,141.67,+0.29,+0.21%,141.67,141.67,141.67,
05-Feb-2016,141.38,+0.46,+0.33%,141.38,141.38,141.38,
04-Feb-2016,140.92,-1.03,-0.73%,140.92,140.92,140.92,
03-Feb-2016,141.95,+2.30,+1.65%,141.95,141.95,141.95,
02-Feb-2016,139.65,+1.62,+1.17%,139.65,139.65,139.65,
01-Feb-2016,138.03,+1.22,+0.89%,138.03,138.03,138.03,
29-Jan-2016,136.81,-0.11,-0.08%,136.81,136.81,136.81,
28-Jan-2016,136.92,+0.37,+0.27%,136.92,136.92,136.92,
27-Jan-2016,136.55,-0.11,-0.08%,136.55,136.55,136.55,
26-Jan-2016,136.66,-0.47,-0.34%,136.66,136.66,136.66,
25-Jan-2016,137.13,+0.66,+0.48%,137.13,137.13,137.13,
22-Jan-2016,136.47,-0.55,-0.40%,136.47,136.47,136.47,
21-Jan-2016,137.02,-1.81,-1.30%,137.02,137.02,137.02,
20-Jan-2016,138.83,-1.86,-1.32%,138.83,138.83,138.83,
19-Jan-2016,140.69,-0.41,-0.29%,140.69,140.69,140.69,
18-Jan-2016,141.10,-0.76,-0.54%,141.10,141.10,141.10,
15-Jan-2016,141.86,+0.09,+0.06%,141.86,141.86,141.86,
14-Jan-2016,141.77,-0.94,-0.66%,141.77,141.77,141.77,
13-Jan-2016,142.71,-0.20,-0.14%,142.71,142.71,142.71,
12-Jan-2016,142.91,-1.32,-0.92%,142.91,142.91,142.91,
11-Jan-2016,144.23,-1.01,-0.70%,144.23,144.23,144.23,
08-Jan-2016,145.24,-1.50,-1.02%,145.24,145.24,145.24,
07-Jan-2016,146.74,-0.07,-0.05%,146.74,146.74,146.74,
06-Jan-2016,146.81,+1.32,+0.91%,146.81,146.81,146.81,
05-Jan-2016,145.49,-0.01,-0.01%,145.49,145.49,145.49,
04-Jan-2016,145.50,-0.20,-0.14%,145.50,145.50,145.50,
31-Dec-2015,145.70,+1.33,+0.92%,145.70,145.70,145.70,
30-Dec-2015,144.37,+0.40,+0.28%,144.37,144.37,144.37,
29-Dec-2015,143.97,+1.03,+0.72%,143.97,143.97,143.97,
28-Dec-2015,142.94,+0.43,+0.30%,142.94,142.94,142.94,
24-Dec-2015,142.51,-0.34,-0.24%,142.51,142.51,142.51,
23-Dec-2015,142.85,-1.92,-1.33%,142.85,142.85,142.85,
22-Dec-2015,144.77,-0.84,-0.58%,144.77,144.77,144.77,
21-Dec-2015,145.61,+0.06,+0.04%,145.61,145.61,145.61,
18-Dec-2015,145.55,+0.24,+0.17%,145.55,145.55,145.55,
17-Dec-2015,145.31,-0.77,-0.53%,145.31,145.31,145.31,
16-Dec-2015,146.08,+1.14,+0.79%,146.08,146.08,146.08,
15-Dec-2015,144.94,+0.18,+0.12%,144.94,144.94,144.94,
14-Dec-2015,144.76,+0.04,+0.03%,144.76,144.76,144.76,
11-Dec-2015,144.72,+0.44,+0.30%,144.72,144.72,144.72,
10-Dec-2015,144.28,-0.11,-0.08%,144.28,144.28,144.28,
09-Dec-2015,144.39,+0.35,+0.24%,144.39,144.39,144.39,
08-Dec-2015,144.04,+0.43,+0.30%,144.04,144.04,144.04,
07-Dec-2015,143.61,+0.32,+0.22%,143.61,143.61,143.61,
04-Dec-2015,143.29,+0.03,+0.02%,143.29,143.29,143.29,
03-Dec-2015,143.26,-0.95,-0.66%,143.26,143.26,143.26,
02-Dec-2015,144.21,+0.73,+0.51%,144.21,144.21,144.21,
01-Dec-2015,143.48,+0.01,+0.01%,143.48,143.48,143.48,
30-Nov-2015,143.47,+0.54,+0.38%,143.47,143.47,143.47,
27-Nov-2015,142.93,-2.72,-1.87%,142.93,142.93,142.93,
25-Nov-2015,145.65,-0.31,-0.21%,145.65,145.65,145.65,
24-Nov-2015,145.96,-1.67,-1.13%,145.96,145.96,145.96,
23-Nov-2015,147.63,+0.59,+0.40%,147.63,147.63,147.63,
20-Nov-2015,147.04,+0.73,+0.50%,147.04,147.04,147.04,
19-Nov-2015,146.31,+1.60,+1.11%,146.31,146.31,146.31,
18-Nov-2015,144.71,+0.27,+0.19%,144.71,144.71,144.71,
17-Nov-2015,144.44,+0.71,+0.49%,144.44,144.44,144.44,
16-Nov-2015,143.73,+0.41,+0.29%,143.73,143.73,143.73,
13-Nov-2015,143.32,-0.47,-0.33%,143.32,143.32,143.32,
12-Nov-2015,143.79,+0.67,+0.47%,143.79,143.79,143.79,
11-Nov-2015,143.12,+1.78,+1.26%,143.12,143.12,143.12,
10-Nov-2015,141.34,+0.70,+0.50%,141.34,141.34,141.34,
09-Nov-2015,140.64,+0.46,+0.33%,140.64,140.64,140.64,
06-Nov-2015,140.18,+0.76,+0.55%,140.18,140.18,140.18,
05-Nov-2015,139.42,+2.53,+1.85%,139.42,139.42,139.42,
04-Nov-2015,136.89,-0.38,-0.28%,136.89,136.89,136.89,
03-Nov-2015,137.27,+0.34,+0.25%,137.27,137.27,137.27,
02-Nov-2015,136.93,-0.35,-0.25%,136.93,136.93,136.93,
30-Oct-2015,137.28,-0.79,-0.57%,137.28,137.28,137.28,
29-Oct-2015,138.07,+0.08,+0.06%,138.07,138.07,138.07,
28-Oct-2015,137.99,+0.13,+0.09%,137.99,137.99,137.99,
27-Oct-2015,137.86,-0.42,-0.30%,137.86,137.86,137.86,
26-Oct-2015,138.28,-1.26,-0.90%,138.28,138.28,138.28,
23-Oct-2015,139.54,+0.11,+0.08%,139.54,139.54,139.54,
22-Oct-2015,139.43,+0.47,+0.34%,139.43,139.43,139.43,
21-Oct-2015,138.96,+0.95,+0.69%,138.96,138.96,138.96,
19-Oct-2015,138.01,+1.07,+0.78%,138.01,138.01,138.01,
16-Oct-2015,136.94,+1.23,+0.91%,136.94,136.94,136.94,
15-Oct-2015,135.71,-0.62,-0.45%,135.71,135.71,135.71,
14-Oct-2015,136.33,-3.54,-2.53%,136.33,136.33,136.33,
13-Oct-2015,139.87,-1.05,-0.75%,139.87,139.87,139.87,
12-Oct-2015,140.92,-0.95,-0.67%,140.92,140.92,140.92,
09-Oct-2015,141.87,-0.53,-0.37%,141.87,141.87,141.87,
08-Oct-2015,142.40,-0.30,-0.21%,142.40,142.40,142.40,
07-Oct-2015,142.70,-0.23,-0.16%,142.70,142.70,142.70,
06-Oct-2015,142.93,-0.49,-0.34%,142.93,142.93,142.93,
05-Oct-2015,143.42,+0.26,+0.18%,143.42,143.42,143.42,
02-Oct-2015,143.16,-2.49,-1.71%,143.16,143.16,143.16,
01-Oct-2015,145.65,-1.27,-0.86%,145.65,145.65,145.65,
30-Sep-2015,146.92,-1.18,-0.80%,146.92,146.92,146.92,
29-Sep-2015,148.10,0.00,0.00%,148.10,148.10,148.10,
28-Sep-2015,148.10,-0.22,-0.15%,148.10,148.10,148.10,
25-Sep-2015,148.32,+0.02,+0.01%,148.32,148.32,148.32,
24-Sep-2015,148.30,+0.78,+0.53%,148.30,148.30,148.30,
23-Sep-2015,147.52,+0.23,+0.16%,147.52,147.52,147.52,
22-Sep-2015,147.29,+0.02,+0.01%,147.29,147.29,147.29,
21-Sep-2015,147.27,+0.08,+0.05%,147.27,147.27,147.27,
18-Sep-2015,147.19,-1.09,-0.74%,147.19,147.19,147.19,
17-Sep-2015,148.28,-0.40,-0.27%,148.28,148.28,148.28,
16-Sep-2015,148.68,-0.46,-0.31%,148.68,148.68,148.68,
15-Sep-2015,149.14,+1.56,+1.06%,149.14,149.14,149.14,
14-Sep-2015,147.58,+1.12,+0.76%,147.58,147.58,147.58,
11-Sep-2015,146.46,+0.27,+0.18%,146.46,146.46,146.46,
